Metric		Current
TOTAL_NUMBER_OF_FILES		18,519
NUMBER_OF_FILES_MAIN		61
LINES_OF_CODE_MAIN		3,279
NUMBER_OF_FILES_MAIN_EXT_JSX		24
LINES_OF_CODE_MAIN_EXT_JSX		1,325
NUMBER_OF_FILES_MAIN_EXT_CSS		19
LINES_OF_CODE_MAIN_EXT_CSS		1,141
NUMBER_OF_FILES_MAIN_EXT_JS		15
LINES_OF_CODE_MAIN_EXT_JS		620
NUMBER_OF_FILES_MAIN_EXT_SQL		2
LINES_OF_CODE_MAIN_EXT_SQL		175
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		18
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		2
LINES_OF_CODE_GENERATED		4,255
NUMBER_OF_FILES_GENERATED_EXT_JSON		2
LINES_OF_CODE_GENERATED_EXT_JSON		4,255
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		10
LINES_OF_CODE_OTHER		4,404
NUMBER_OF_FILES_OTHER_EXT_JSON		5
LINES_OF_CODE_OTHER_EXT_JSON		4,346
NUMBER_OF_FILES_OTHER_EXT_TXT		1
LINES_OF_CODE_OTHER_EXT_TXT		31
NUMBER_OF_FILES_OTHER_EXT_SVG		3
LINES_OF_CODE_OTHER_EXT_SVG		20
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		7
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND		558
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		558
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DATABASE		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATABASE		175
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DATABASE_EXT_SQL		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATABASE_EXT_SQL		175
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND		48
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND		2,546
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		24
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		1,325
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		19
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		1,141
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		62
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		18
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		61
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		3,279
